game_id,inning,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_lob,away_lob
718744,2,1,0,2,0,0,0,1,0
718744,3,1,0,2,1,0,0,2,1
718744,4,0,1,0,1,0,0,0,1
718744,5,1,0,2,0,0,0,2,0
718744,6,0,0,0,1,0,0,0,1
718744,7,0,0,2,1,0,0,2,1
718744,8,0,0,1,2,0,0,1,2
718744,9,,0,0,0,0,0,0,0
718741,1,1,2,2,2,1,0,3,2
718741,2,0,0,0,0,0,0,0,0
718741,3,0,0,0,0,0,0,0,0
718741,4,0,0,0,1,0,0,0,1
718741,5,0,2,1,1,0,0,1,0
718741,6,0,0,0,0,0,0,0,0
718741,7,0,1,0,1,0,0,0,2
718741,8,0,0,0,0,0,0,2,0
718741,9,0,0,1,0,0,0,0,1
718745,1,0,0,0,0,0,0,0,0
718745,2,1,1,1,3,0,0,0,3
718745,3,0,0,1,0,0,0,2,0
718745,4,0,1,1,2,0,0,1,1
718745,5,0,0,0,0,0,0,0,3
718745,6,0,1,0,2,0,0,1,1
718745,7,2,3,1,3,0,0,0,0
718745,8,0,1,0,3,0,0,0,2
718745,9,1,0,2,0,0,0,1,0
718740,1,0,0,0,1,0,0,2,1
718740,2,0,0,0,2,0,0,2,3
718740,3,0,0,1,0,0,0,1,0
718740,4,0,0,1,1,0,0,1,2
718740,5,0,1,1,1,0,0,2,0
718740,6,1,2,1,3,0,0,1,3
718740,7,0,0,0,0,0,0,0,0
718740,8,0,1,1,2,0,0,1,1
718740,9,2,2,2,3,0,0,2,2
718737,1,4,0,5,0,0,0,0,0
718737,2,0,3,0,3,0,0,0,1
718737,3,3,0,3,2,0,0,0,2
718737,4,2,0,3,0,0,0,1,0
718737,5,0,0,2,1,0,0,3,1
718737,6,0,1,0,2,0,0,1,1
718737,7,0,0,2,1,0,0,1,1
718737,8,0,0,1,1,0,0,1,0
718737,9,,0,0,0,0,0,0,0
718738,1,1,0,2,0,0,0,0,0
718738,2,1,1,2,2,0,0,2,2
718738,3,0,1,0,2,0,0,0,0
718738,4,0,1,1,3,0,0,1,2
718738,5,0,0,0,0,0,0,0,2
718738,6,0,5,0,5,0,0,0,2
718738,7,1,1,2,1,0,0,1,1
718738,8,2,0,1,0,1,0,1,1
718738,9,0,0,1,0,0,0,1,0
718734,1,0,0,1,1,0,0,2,1
718734,2,0,0,1,0,0,0,1,0
718734,3,0,0,0,2,0,0,0,2
718734,4,0,3,1,2,1,0,1,0
718734,5,0,3,0,3,0,0,1,0
