"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
87,3933.2137,1013.0557,179.9083,35.8933,7.3499,3.2021,-48.8534,30.4608,10.9272,5.6706,36.1481,52.6749,72.8508,37.7068,190.7493
87.5,3939.1491,1042.6346,181.3588,35.8821,7.6587,3.1657,-51.4851,32.3942,12.7142,5.9108,37.0128,47.5673,73.2467,46.4555,192.9268
90.9,5059.2718,1057.9016,169.1149,39.7746,-1.1419,2.7291,-56.613,21.8388,20.5696,-3.5993,43.9851,30.474,41.1754,36.8638,158.4645
89.4,5016.0437,1102.6302,170.1366,38.065,-0.7264,2.7466,-58.8294,21.1596,25.3516,-7.041,40.102,29.6896,47.1458,48.6824,165.464
89.1,5031.3604,1114.3282,168.7091,38.0229,-0.1726,2.7466,-61.8637,20.3959,23.9402,-6.0325,38.9508,29.0089,44.0985,52.5606,172.5427
87.8,5012.3107,1046.1467,172.2374,39.6355,0.0266,2.911,-56.0403,20.9022,14.4352,-5.4023,43.6867,28.2625,45.1766,29.3409,157.4822
87.7,5027.7723,1109.1629,170.2402,37.5801,2.7368,2.8922,-62.1175,17.8939,22.7889,-2.6198,38.4993,17.4616,34.6719,54.6471,170.2986
84.8,4562.2864,1081.9818,148.6946,31.4313,7.1507,3.2749,-52.1137,15.1311,-1.736,2.5393,34.2628,24.3777,49.1504,35.6869,117.4798
85.8,4589.4152,1122.3892,149.7039,27.9093,7.1755,3.3477,-48.1974,18.889,9.1445,2.0899,32.8399,37.9599,69.7105,75.2851,132.3321
85.1,4505.1163,1106.362,149.0441,30.4417,6.5233,3.438,-47.7687,18.4271,0.6994,3.1384,34.4179,28.5034,64.1584,4.9129,119.3834
84.8,4521.2909,1091.5039,149.2454,32.0284,3.305,3.4029,-56.7596,21.2678,-0.1195,1.6619,33.0231,20.9129,61.8589,42.9652,98.599
84.9,4572.3939,1129.0045,149.3529,26.9374,7.9057,3.3652,-45.1905,21.9508,3.9342,4.0617,33.5248,32.6322,64.5639,79.6063,170.9509
81.8,4740.3743,969.8078,155.6044,23.7765,2.1066,3.2924,-67.5066,17.9266,1.4099,-0.9307,25.6746,13.9446,17.9879,41.4862,186.9672
82.6,4680.6146,993.1391,155.9367,24.7099,-0.8904,3.4568,-64.6474,16.2463,-6.0784,2.0169,24.802,6.6423,16.8478,22.6346,233.518
82.8,4654.8968,1019.0478,155.0093,20.5473,1.938,3.4029,-60.0123,14.9962,9.1039,-0.1011,23.0785,8.2651,17.5964,43.0757,253.5941
81.6,4721.8023,1000.6647,153.58,22.3504,-0.4618,3.3841,-64.8578,15.2347,3.7138,-1.6618,23.4865,8.1845,17.395,27.8609,240.0189
87.9,5112.3109,1074.0838,187.2702,57.0264,16.5792,3.0377,-61.5131,11.5137,13.0116,-5.1724,67.4161,17.8262,50.5552,38.241,127.7956
88.1,5143.489,1180.9339,188.6939,52.9095,13.4463,3.0566,-64.6797,15.5171,8.2178,-4.3332,65.0583,16.4236,54.7743,23.7832,132.9006
87.8,5291.1315,1066.5568,191.2588,57.736,12.657,3.0754,-65.2588,13.5169,13.4356,-6.217,73.4536,17.0604,42.0912,36.1079,137.2894
88.4,5112.1364,1071.4013,191.0558,60.4839,14.6652,3.093,-62.189,8.1061,10.8682,-5.5425,69.6705,18.9942,59.4928,38.4057,137.1423
86.8,5222.6129,1051.4356,190.8333,57.1314,14.1038,3.093,-72.4337,11.0915,12.4626,-6.3556,77.3035,25.2407,53.8159,39.6346,134.0768
87.7,4379.4951,1072.2864,168.7007,39.7782,-2.918,2.5296,-44.0571,12.1903,-3.8892,-9.2954,54.6331,45.6221,47.6765,17.6072,292.6092
87.6,4397.4485,1056.8279,170.1749,28.5215,-3.4674,2.4555,-40.7315,11.9136,-0.8077,-3.4918,56.7606,40.7477,51.519,17.5536,300.1488
87.4,4484.3394,1052.4441,171.3882,32.4065,-3.8505,2.4016,-40.3343,12.0789,-0.879,-2.1078,59.1649,40.9587,48.3828,18.9923,219.1354
87.8,4649.3964,1067.0213,173.1169,30.6799,-5.2821,2.4016,-43.1432,11.5595,-2.0547,-8.3614,56.6472,33.1115,45.3971,21.7829,277.7529
87.1,4524.4119,1058.0327,170.3753,21.0151,2.0071,2.3652,-43.773,10.3398,1.8361,-5.1008,54.6208,28.0243,42.8982,30.4021,296.0606
79.4,3861.1304,869.8785,174.3232,58.733,10.5222,3.0566,12.4199,19.819,3.4941,5.3913,59.0686,32.5808,33.3085,38.5124,79.1497
79.9,4003.3629,892.4134,176.4702,59.4489,10.4072,3.093,5.9574,19.7449,-1.9903,10.857,59.8234,31.2173,33.5413,36.8331,86.6281
78.8,3809.7893,906.1005,174.8413,59.9544,6.1322,3.0566,4.5149,22.4511,-2.0842,7.8612,60.5102,29.1763,31.2251,36.1691,64.6651
80,3937.144,879.0901,175.5093,59.4808,8.1791,3.128,6.4585,22.8442,1.6853,6.7711,59.9458,28.5927,33.8962,46.3003,87.6668
79.8,3994.4139,889.5147,177.5316,57.9123,7.5629,3.1482,3.179,21.6608,5.0177,8.6893,58.6407,26.2427,33.987,43.461,90.4731
84.2,4301.4044,1060.7607,153.5178,49.0517,2.2933,3.2937,-43.7197,21.4458,1.3387,-0.2852,50.3724,34.107,55.7421,27.6558,72.1752
84.4,4350.7039,1047.3998,155.5062,50.1085,2.495,3.256,-43.643,21.3489,-5.7371,-2.03,51.587,31.0356,57.5903,18.1638,76.5347
83.5,4257.9705,1029.2647,152.0976,53.2155,3.3331,3.3301,-51.0606,20.6455,6.3273,0.1101,53.5919,27.5167,53.1394,29.5068,85.7219
83.8,4337.2556,1050.8298,155.4616,50.8564,2.5605,3.3113,-48.326,21.7093,4.5926,-0.9621,51.2237,29.5616,52.311,40.4887,76.1618
84.3,4222.856,1084.7454,158.8112,49.5446,1.2305,3.2937,-43.0867,21.6771,3.1051,-1.9759,51.3873,33.6349,55.039,38.0356,70.7379
79.2,4354.2333,892.8306,166.276,40.6859,6.9453,2.911,-24.3736,19.4029,-1.9502,-5.9858,46.3356,8.4579,37.5517,29.0993,159.1927
79.7,4125.7486,912.971,166.7454,46.8256,6.3957,2.8558,-37.1933,19.2049,-6.4561,-9.6334,47.029,12.7308,43.7641,23.9112,152.5004
79.7,4248.4413,908.9085,164.8812,42.2861,6.809,2.911,-40.0789,16.8302,-0.7115,-7.1501,44.346,10.6937,49.324,23.9121,161.8435
79.4,4331.1571,960.9768,166.7919,38.1569,7.6164,2.9838,-25.0719,20.5395,-3.0789,-7.556,42.9061,4.4245,37.6477,33.1992,170.8512
79.8,4844.7,1009.5098,150.2214,39.0919,5.6307,2.6738,-45.7157,15.9442,0.2954,-2.7315,39.6436,20.0669,38.8245,15.2512,134.5726
79.1,4808.6165,1008.9438,150.4431,37.14,5.2692,2.7291,-45.3109,18.6382,2.5262,-4.718,40.8873,17.7133,39.6608,21.3559,157.9645
79.4,4932.2565,1011.153,152.4615,38.9496,3.3125,2.7479,-45.2856,19.4269,1.325,-4.6124,39.3285,13.687,31.5668,16.1642,154.6043
79.1,4880.6859,989.6901,153.5522,38.4845,3.4432,2.7102,-47.1271,20.3656,2.4108,-3.8132,40.1042,16.3202,39.5044,27.018,147.6785
79.3,4950.7567,994.3685,151.4551,37.8028,2.1338,2.7291,-44.0691,18.9606,3.3888,-3.9127,39.4626,18.4961,44.0568,21.0373,153.7711
75.8,4479.3124,1049.6915,170.0122,-6.5292,0.9955,2.4932,-66.3677,19.8973,40.6245,2.1782,24.5404,19.4076,44.0546,90.4634,45.1199
76.4,4513.7459,1074.9997,168.5546,-5.7608,-1.1182,2.6011,-65.5304,21.6745,39.0615,3.1238,22.7406,22.6976,50.1774,91.3867,60.1446
74.9,4632.6719,1096.0412,172.5139,-4.3524,-3.5319,2.6752,-70.0111,23.1212,43.437,4.5106,22.2491,20.5309,59.8826,90.8236,69.734
75.1,4662.4474,1068.0115,169.4314,-3.1728,-2.1844,2.6011,-69.1493,22.7122,41.1081,1.7698,23.1592,18.1832,41.7258,91.7494,65.0506
74.9,4229.5703,1071.2733,168.5174,-3.0479,-4.1651,2.5647,-68.8017,22.1677,42.3193,3.3445,22.6018,20.2716,49.301,94.3578,77.7318
80.5,4416.1958,1073.851,184.3862,64.4868,-10.4175,3.1293,-40.2156,12.801,31.1189,1.1687,67.9985,1.7365,33.8272,50.0066,30.775
